"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/07,02:20:56,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,02:27:38,Yes,N/A,2019p175954,Yes,5.26,5.23,Yes,"5 (mb)",,,
2019/03/07,02:40:26,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,02:45:29,No,No,N/A,No,4.04,4.43,No,N/A,,,
2019/03/07,02:48:37,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,02:54:34,No,No,N/A,No,N/A,N/A,No,N/A,,,"Very poor mainland arrivals, 4.23 ML"
2019/03/07,03:05:07,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,03:17:49,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,03:22:15,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,03:29:05,No,Yes,2019p176066,Yes,4.26,4.27,No,N/A,,,
2019/03/07,03:49:52,No,No,N/A,No,4.1,N/A,No,N/A,,,"Very poor mainland arrivals"
2019/03/07,03:53:43,No,Yes,2019p176112,Yes,4.43,4.57,No,N/A,,,"First of two events which have overlapping waveforms on mainland, the mb should be reasonably accurate as first p is clearly differentiated from rest of wavetrain on mainland"
2019/03/07,03:55:11,No,Yes,2019p176115,Yes,4.67,5.09,No,N/A,,,"Second of two events which overlapped on the mainland. Picked the p by measuring the p-p offset from Raoul and picking the p on the mainland at the same offset. Fixed mag to MLV as p from second event combined with s from first so mb picks very dodgy."
2019/03/07,04:13:25,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,04:31:34,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,04:34:02,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,05:18:45,No,Yes,2019p176272,Yes,4.32,5.14,No,N/A,,,
2019/03/07,05:25:44,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,05:47:57,Yes,N/A,2019p176334,Yes,5.29,N/A,No,N/A,,,
2019/03/07,05:51:35,No,No,N/A,No,N/A,4.36,No,N/A,,,"Some crappy mainland arrivals"
2019/03/07,06:02:19,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,06:10:40,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,06:30:38,No,Yes,2019p176407,Yes,4.65,4.45,No,N/A,,,
2019/03/07,06:41:02,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,07:12:57,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,07:14:05,Yes,N/A,2019p176495,Yes,N/A,4.65,No,N/A,,,
2019/03/07,07:21:02,No,No,N/A,No,4.28,4.65,No,N/A,,,"Some crappy mainland arrivals"
2019/03/07,07:30:39,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,07:48:47,No,No,,No,N/A,N/A,No,N/A,,,
2019/03/07,07:56:57,Yes,N/A,2019p176572,Yes,4.8,4.77,No,N/A,,,
2019/03/07,08:03:21,No,Yes,2019p176581,Yes,4.29,4.43,No,N/A,,,"S phase of this event runs into p phase of second event. All magnitude picks made on p-phase only"
2019/03/07,08:03:49,No,No,2019p176581,Yes,N/A,N/A,No,N/A,,,"This event is mixed in with the wavetrain from event 2019p176581. Could not separate"
2019/03/07,08:11:18,No,Yes,2019p176596,Yes,4.73,4.65,No,N/A,,,"Event overlapping end of wave train of smaller event 19 secs earlier (p-picks on this waveform suggest this event may not be related to the swarm. Arrival on GLKZ is 08:10:43)"
2019/03/07,08:16:30,No,Yes,2019p176606,Yes,4.34,4.34,No,N/A,,,
2019/03/07,08:50:50,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,08:53:19,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,08:59:09,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,09:13:35,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,09:23:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,09:24:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,09:24:55,No,Yes,2019p176734,Yes,4.43,4.26,No,N/A,,,
2019/03/07,09:32:41,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,09:39:25,No,No,N/A,Yes,4.31,N/A,No,N/A,,,
2019/03/07,09:53:43,No,No,N/A,Yes,4.21,4.18,No,N/A,,,"Could only find 8 phases"
2019/03/07,10:09:10,No,No,N/A,Yes,4.19,4.28,No,N/A,,,"Only 10 dodgy picks"
2019/03/07,10:11:40,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,10:20:04,No,Yes,2019p176838,Yes,4.66,4.49,No,N/A,,,
2019/03/07,10:28:18,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,10:43:13,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,10:46:47,No,No,N/A,No,N/A,N/A,No,N/A,,,
